codigo_subpartida,descripcion
0406905000,"- - Con un contenido de humedad superior o igual al 50 % pero inferior al 56 %, en peso, calculado sobre una base totalmente desgrasada"
0406906000,"- - Con un contenido de humedad superior o igual al 56 % pero inferior al 69 %, en peso, calculado sobre una base totalmente desgrasada"
0406909000,-           - Los demás
0407110000,- - De gallina de la especie Gallus domesticus
0407190000,- - Los demás
0407211000,- - - Para la producción de vacunas (libres de patógenos específicos)
0407219000,- - - Los demás
0407291000,- - - Para la producción de vacunas (libres de patógenos específicos)
0407299000,- - - Los demás
0407900000,- Los demás
0408110000,- - Secas
0408190000,- - Las demás
0408910000,- - Secos
0408990000,- - Los demás
0409001000,- En recipientes con capacidad superior o igual a 300 kg
0409009000,- Los demás
0410100010,- - Harina y polvo
0410100020,"- - Enteros o en trozos, secos, ahumados, salados o en salmuera"
0410100090,- - Los demás
0410900000,- Los demás
0501000000,"Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello."
0502100000,- Cerdas de cerdo o de jabalí y sus desperdicios
0502900000,- Los demás
0504001000,- Estómagos
0504002000,- Tripas
0504003000,- Vejigas
0505100000,- Plumas de las utilizadas para relleno; plumón
0505900000,- Los demás
0506100000,- Oseína y huesos acidulados
0506900000,- Los demás
0507100000,- Marfil; polvo y desperdicios de marfil
0507900000,- Los demás
